vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CP03CASH2,Host_10.163.143.14,d83f79ac-573b-51e7-0a2f-1e062772f380,,,,10.163.143.14 255.255.255.255,,,E.NMC,PCCWT ORSYP Consoles
CP03CASH2,Range_10.163.143.21-25,d850691a-573b-51e7-6979-a20b57ea3ffb,iprange,10.163.143.21,10.163.143.25,,,,E.NMC,PCCWT ORSYP Consoles
CP03CASH2,Host_10.164.129.21,d8617eda-573b-51e7-3db4-d3a79d671fd3,,,,10.164.129.21 255.255.255.255,,,E.NMC,CES sctmrep001
CP03CASH2,Host_10.164.1.21,d871f92c-573b-51e7-1807-d470e037dc6c,,,,10.164.1.21 255.255.255.255,,,E.NMC,TKO pctmrep001
CP03CASH2,Host_10.164.1.51,d882e8d6-573b-51e7-f1ad-a6b4d1bda055,,,,10.164.1.51 255.255.255.255,,,E.NMC,TKO SDRUAPP951
CP03CASH2,Host_10.164.130.51,d8922bf2-573b-51e7-d9c2-19b92fc550b9,,,,10.164.130.51 255.255.255.255,,,E.NMC,PCCWT SDRUAPP852
CP03CASH2,Host_10.164.1.36,d8a42c26-573b-51e7-321f-c6c7f2e5833d,,,,10.164.1.36 255.255.255.255,,,E.NMC,
CP03CASH2,Host_10.164.130.36,d8b40a56-573b-51e7-a319-a8ff9bcf7f06,,,,10.164.130.36 255.255.255.255,,,E.NMC,
CP03CASH2,Net_10.164.1.0,d8c5212e-573b-51e7-bcff-a1dc134ba13d,,,,10.164.1.0 255.255.255.0,,,E.NMC,
CP03CASH2,Net_10.164.129.0,d8d57498-573b-51e7-c466-5046a715c090,,,,10.164.129.0 255.255.255.0,,,E.NMC,
CP03CASH2,Net_10.164.130.0,d8e6169a-573b-51e7-ab55-1bb893f5fd0d,,,,10.164.130.0 255.255.255.0,,,E.NMC,
CP03CASH2,Net_10.163.143.0,d8f72d36-573b-51e7-bfb2-87463837e9b3,,,,10.163.143.0 255.255.255.0,,,E.NMC,NMC
CP03CASH2,Net_10.63.142.0,d906bdaa-573b-51e7-f354-4ea5ba75c0a9,,,,10.63.142.0 255.255.255.0,,,E.NMC,NMC
CP03CASH2,Net_10.163.142.0,d918c0cc-573b-51e7-77c4-5da9a8ac5348,,,,10.163.142.0 255.255.255.0,,,E.NMC,CES VC
CP03CASH2,Host_10.70.3.72,d92ccdf6-573b-51e7-5b47-b29d971352ba,,,,10.70.3.72 255.255.255.255,,,I.TOFAPP,PCCWT TOF ORSYP Consoles
CP03CASH2,Host_10.70.3.76,d939db22-573b-51e7-3597-632a32718a5c,,,,10.70.3.76 255.255.255.255,,,I.TOFAPP,PCCWT TOF ORSYP Consoles
CP03CASH2,Range_10.70.3.83-84,d94a07cc-573b-51e7-7785-ccf630949c13,iprange,10.70.3.83,10.70.3.84,,,,I.TOFAPP,PCCWT TOF ORSYP Consoles
CP03CASH2,Host_10.70.3.86,d95b1eae-573b-51e7-70ff-8407f9bf91ff,,,,10.70.3.86 255.255.255.255,,,I.TOFAPP,PCCWT TOF ORSYP Consoles
CP03CASH2,Host_10.70.13.72,d96aae82-573b-51e7-cba8-528d3cd1bfd9,,,,10.70.13.72 255.255.255.255,,,I.TOFAPP,TKO TOF ORSYP Consoles
CP03CASH2,Host_10.70.13.76,d97b5048-573b-51e7-3ac9-1e183dd0eea2,,,,10.70.13.76 255.255.255.255,,,I.TOFAPP,TKO TOF ORSYP Consoles
CP03CASH2,Range_10.70.13.83-84,d98cb77a-573b-51e7-bae2-7a0c2c154494,iprange,10.70.13.83,10.70.13.84,,,,I.TOFAPP,TKO TOF ORSYP Consoles
CP03CASH2,Host_10.70.13.86,d99d7e84-573b-51e7-3deb-2991b3b5ed67,,,,10.70.13.86 255.255.255.255,,,I.TOFAPP,TKO TOF ORSYP Consoles
CP03CASH2,Host_10.70.6.11,d9ae948a-573b-51e7-18e6-cd7b68189385,,,,10.70.6.11 255.255.255.255,,,I.TOFAPP,BSMS1
CP03CASH2,Host_10.70.16.11,d9bf0fb8-573b-51e7-93f3-2b9e4acd2f88,,,,10.70.16.11 255.255.255.255,,,I.TOFAPP,TSMS1
CP03CASH2,Range_10.1.88.80-85,d9cec732-573b-51e7-352e-97459f8bdee3,iprange,10.1.88.80,10.1.88.85,,,,I.CASH.Trust2,TKO OMDC ORSYP Consoles
