vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy
CP03CASH2,TCP/56392,HKEX_USE,,56392,,,,,
CP03CASH2,TCP/56393,HKEX_USE,,56393,,,,,
CP03CASH2,TCP/31137,HKEX_USE,,31137,,,,,
CP03CASH2,TCP/31237,HKEX_USE,,31237,,,,,
CP03CASH2,TCP/31937,HKEX_USE,,31937,,,,,
CP03CASH2,TCP/30001-30010,HKEX_USE,,30001-30010,,,,,
CP03CASH2,TCP/29108-29112,HKEX_USE,,29108-29112,,,,,
CP03CASH2,UDP/29108-29112,,,,29108-29112,,,,
CP03CASH2,TCP/3268-3269,HKEX_USE,,3268-3269,,,,,
CP03CASH2,TCP/5722,HKEX_USE,,5722,,,,,
CP03CASH2,TCP&UDP/42,HKEX_USE,,42,42,,,,
CP03CASH2,TCP&UDP/464,HKEX_USE,,464,464,,,,
CP03CASH2,UDP/1024-65535,,,,1024-65535,,,,
CP03CASH2,LDAPS,HKEX_USE,,636,636,,,,
CP03CASH2,PORT_IPM,HKEX_USE,,80 443 2967 8443-8447 9090,,,,,
CP03CASH2,PORT_OMD_CTL,HKEX_USE,,55380-55385 55388-55393 55398-55400 56388 56392-56393,,,,,
CP03CASH2,PORT_CNMC_Networker,HKEX_USE,,111 514 2049 4001 2051-2052 7937-9936,111 514 2049 4001 2051-2052 7937-9936,,,,
CP03CASH2,PORT_CNMC_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,
CP03CASH2,Port_BMC,,,2059 1828-1838 12124 4750 1533 9840-9842 3181-3183,,,,,
CP03CASH2,UDP/123,HKEX_USE,,,123,,,,
CP03CASH2,PORT_ESXI_MGT,HKEX_USE,,22 427 443 902 5988 5989,427 902 6999 12345 23451,,,,
CP03CASH2,PORT_ESXI_INFO,HKEX_USE,,443 5989 8000 8001,902 6500,,,,
CP03CASH2,PORT_AD,HKEX_USE,,88 123 235 137 139 389 445 464 3268,,,,,
CP03CASH2,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
CP03CASH2,TCP/902,HKEX_USE,,902,,,,,
CP03CASH2,UDP/427,HKEX_USE,,,427,,,,
CP03CASH2,TCP/1433,HKEX_USE,,1433,,,,,
CP03CASH2,TCP/444,HKEX_USE,,444,,,,,
CP03CASH2,TCP/10022,HKEX_USE,,10022,,,,,
CP03CASH2,TCP/1434,HKEX_USE,,1434,,,,,
CP03CASH2,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,
